Invoice Id,Invoice Date,Invoice Due Date,Product Id,Product Description,Scraped Price,Invoice Unit Price,Reduction, Calculated
INV5837886,13/08/2019,13/04/2020,PRD8841935,Fever Tree Ginger Beer,,,8%,8%
INV9754570,09/03/2020,09/06/2020,PRD20107941,A&W Root Beer,,,6%,1%
INV1739506,23/03/2020,20/05/2020,PRD87217706,Athletic Brewing Company - Craft Non-Alcoholic Beer - Run Wild Session IPA,,,3%,6%
INV5762118,28/02/2020,31/07/2019,PRD37971272,Bundaberg Brewed Drinks Bundaberg  Ginger Beer,,,3%,9%
INV2390667,25/02/2019,30/07/2019,PRD81699408,Michelob ULTRA Light Beer,,,6%,1%
INV3963372,06/02/2020,26/10/2019,PRD86382375,Athletic Brewing Company - Craft Non-Alcoholic Beer - Upside Dawn,,,10%,3%
INV5702868,19/03/2020,27/03/2020,PRD47133517,Bud Light Beer,,,8%,5%
INV5939939,08/02/2019,03/08/2019,PRD65280109,Busch Light Beer,,,9%,6%
INV3790669,23/05/2019,20/04/2019,PRD77446652,Coors Light Beer,,,9%,2%
INV2728238,08/05/2019,17/05/2019,PRD89303910,Coors Banquet Lager Beer,,,4%,5%
INV8291161,12/01/2020,10/07/2019,PRD76341460,Corona Extra Mexican Lager Beer,,,2%,5%
INV9828039,22/02/2019,26/02/2020,PRD75430136,MALTA INDIA 42OZ,3.78,,2%,3%
INV8189403,09/11/2019,25/07/2019,PRD24060778,Natural Light Beer,,,2%,10%
INV8637675,18/02/2019,06/02/2020,PRD71618222,Budweiser Beer,,,8%,10%
INV5370251,05/01/2019,08/02/2020,PRD45187727,Dos Equis Lager Especial Beer,,,3%,6%
INV4694152,21/05/2019,04/09/2019,PRD80428968,Bud Light Beer,,,4%,2%
INV4534104,15/03/2019,29/01/2020,PRD2157172,Corona Extra Mexican Lager Beer,,,5%,2%
INV8821508,11/09/2019,03/05/2020,PRD75247942,Michelob Ultra Pure Gold Organic Light Lager,,,3%,1%
INV3743846,02/03/2020,07/06/2019,PRD45969212,Michelob ULTRA Light Beer,,,8%,7%
INV1616995,29/07/2019,15/05/2019,PRD15929058,Modelo Especial Mexican Lager Beer,,,5%,6%
INV2801915,24/06/2019,19/07/2019,PRD48511505,Modelo Especial Mexican Lager Beer,,,10%,2%
INV2568592,07/01/2020,15/01/2020,PRD62338854,Bud Light Beer,,,4%,3%
INV2426287,23/01/2019,29/11/2019,PRD29274541,Samuel Adams Winter Variety Seasonal Beer,,,5%,8%
INV2688362,22/02/2020,24/10/2019,PRD57682192,Miller Lite Lager Beer,,,1%,7%
INV3807211,21/03/2019,12/05/2020,PRD17724922,Michelob ULTRA Light Beer,,,6%,5%
INV2277382,15/08/2019,14/02/2020,PRD76257573,Bud Light Beer,,,6%,2%
INV1537259,11/07/2019,09/06/2020,PRD76367634,Michelob ULTRA Light Beer,,,8%,6%
INV6785440,30/09/2019,28/04/2019,PRD49953636,TRULY Lemonade Hard Seltzer Variety,,,8%,9%
INV3629361,25/03/2020,30/11/2019,PRD52399205,Bud Light Beer,,,1%,6%
INV1276365,17/02/2019,17/12/2019,PRD42488226,Natural Ice Beer,,,4%,8%
INV2434111,28/02/2019,14/06/2019,PRD20243672,Coors Light Lager Beer,,,8%,6%
INV5905764,14/01/2020,28/12/2019,PRD28135028,Bud Light Beer,,,5%,9%
INV8379987,23/03/2019,26/02/2020,PRD50823770,Rolling Rock Extra Pale Beer,,,2%,8%
INV5340531,29/01/2020,05/02/2020,PRD72076971,Modelo Especial Mexican Lager Beer,,,8%,9%
INV4789215,26/02/2020,15/09/2019,PRD77537549,Natural Light Beer,,,3%,1%
INV1990559,10/04/2019,11/06/2020,PRD34350817,Michelob ULTRA Light Beer,,,4%,8%
INV4699694,06/05/2019,29/12/2019,PRD4626441,Mug Root Beer,,,10%,3%
INV1417566,20/01/2020,16/12/2019,PRD14724490,Corona Premier Mexican Lager Light Beer,,,10%,2%
INV1809700,21/03/2020,03/04/2020,PRD47388771,Michelob Ultra Pure Gold Organic Light Lager,,,10%,4%
INV3994268,14/09/2019,22/07/2019,PRD43468982,Miller High Life American Lager Beer,,,2%,5%
INV9799903,13/01/2020,02/08/2019,PRD67834138,Athletic Brewing Company - Craft Non-Alcoholic Beer - Upside Dawn,,,6%,4%
INV1074234,17/01/2019,26/07/2019,PRD94106522,Bud Light Beer,,,4%,10%
INV3861413,03/10/2019,24/03/2020,PRD44629593,Michelob ULTRA Light Beer,,,7%,5%
INV3116443,16/09/2019,14/09/2019,PRD75434381,Miller Lite Lager Beer,,,4%,5%
INV7524403,26/03/2020,06/05/2020,PRD82913463,Bud Light Beer,,,3%,9%
INV6613503,18/03/2020,23/07/2019,PRD10968712,Heineken Lager Beer,,,1%,10%
INV8248668,22/02/2020,11/04/2019,PRD38608040,Miller Genuine Draft Beer,,,8%,8%
INV3462434,17/02/2020,26/01/2020,PRD6495809,Blue Moon Light Sky Wheat Beer,,,3%,8%
INV8481934,03/05/2019,15/01/2020,PRD72157162,Coors Light Beer,,,6%,4%
INV4755988,22/11/2019,25/09/2019,PRD52471881,Michelob ULTRA Light Beer,,,8%,6%
INV3985522,16/06/2019,08/09/2019,PRD3893494,Coors Light Beer,,,8%,5%
INV8664576,28/02/2019,18/06/2020,PRD83064458,Coors Banquet Lager Beer,,,1%,6%
INV1457461,08/02/2020,17/06/2019,PRD25243801,Blue Moon Belgian White Wheat Beer,,,1%,6%
INV5893089,07/06/2019,29/09/2019,PRD50505125,Natural Light Naturdays Light Beer,,,7%,1%
INV6154108,09/11/2019,13/11/2019,PRD11751822,Corona Light Mexican Lager Beer,,,4%,9%
INV2921687,24/06/2019,06/09/2019,PRD7066323,Elysian Space Dust IPA Craft Beer,,,1%,2%
INV6233125,29/06/2019,09/10/2019,PRD70882731,Beck's Pilsner Beer,,,3%,3%
INV4832512,06/08/2019,15/04/2020,PRD66737642,Miller Genuine Draft Beer,,,8%,4%
INV9027279,05/01/2019,11/04/2019,PRD69525942,Budweiser Beer,,,9%,5%
INV8908471,03/07/2019,11/08/2019,PRD62085693,Rolling Rock Extra Pale Beer,,,6%,10%
INV7618063,01/08/2019,13/01/2020,PRD96871016,Stella Artois Lager,,,1%,9%
INV3261272,24/07/2019,29/02/2020,PRD51175785,Busch Light Beer,,,7%,10%
INV5791517,05/06/2019,14/04/2020,PRD38816578,Goya Malt Beverage,,,1%,9%
INV3236410,20/10/2019,12/11/2019,PRD15825012,Pacifico Clara Mexican Lager Beer,,,10%,9%
INV5722964,01/03/2019,08/07/2019,PRD32895267,Modelo Negra Mexican Amber Lager Beer,,,2%,1%
INV7821110,07/07/2019,30/03/2020,PRD83767452,Miller High Life American Lager Beer,,,2%,6%
INV6045931,09/06/2019,20/04/2020,PRD17978616,Corona Extra Coronita Mexican Lager Beer,,,9%,5%
INV7121571,01/07/2019,06/05/2020,PRD42008739,Foster's Ale Beer,,,2%,8%
INV5090061,22/04/2019,22/11/2019,PRD7179528,Bud Light Beer,,,2%,3%
INV7536645,10/09/2019,17/06/2019,PRD50770618,Blue Moon Belgian White Wheat Beer,,,4%,2%
INV4352679,21/08/2019,28/07/2019,PRD18995256,Coors Light Beer,,,3%,2%
INV6327478,23/12/2019,25/10/2019,PRD70847592,Coors Light Beer,,,2%,5%
INV9706586,16/07/2019,02/06/2020,PRD81913156,Bud Light Platinum Beer,,,5%,8%
INV8925302,21/01/2020,10/04/2020,PRD36579425,Modelo Negra Mexican Amber Lager Beer,,,7%,3%
INV8698954,17/02/2019,18/02/2020,PRD10267294,Corona Familiar Mexican Lager Beer,,,3%,8%
INV5759595,25/02/2020,20/09/2019,PRD10138705,Michelob ULTRA Infusions Lime & Prickly Pear Cactus Light Beer,,,10%,3%
INV3310191,23/09/2019,22/03/2020,PRD96340534,Miller Lite Lager Beer,,,8%,8%
INV3091969,29/11/2019,23/01/2020,PRD3122885,Pabst Blue Ribbon Beer,,,2%,2%
INV8821816,08/09/2019,24/04/2019,PRD48687795,Bud Light Platinum Beer,,,7%,1%
INV3983678,08/03/2020,05/12/2019,PRD49340079,Goose Island IPA Craft Beer,,,4%,9%
INV4596775,07/03/2019,18/10/2019,PRD94912783,Bud Light Orange Beer,,,9%,10%
INV1913831,16/12/2019,22/05/2019,PRD91057369,Pacifico Clara Mexican Lager Beer,,,5%,6%
